Once upon a time, there lived a mouse in a house. | 옛날 옛적에 어떤 집에 쥐 한마리가 살았다.
One day, the house owner bought a mousetrap. | 어느 날 집 주인은 쥐덫을 샀다.
The mouse was scared! | 그 쥐는 무서웠다!
He ran to the chicken for help. | 그는 도움을 얻기 위해 닭에게 달려갔다.
He said, “There’s a mousetrap in the house!” “Well, it’s none of my business,” the chicken replied. | 그는 "집에 쥐덫이 있어!"라고 말했다. "음, 그건 내가 상관할 바가 아니야." 라고 닭이 답했다.
The mouse was sad. | 그 쥐는 슬펐다.
One night, a loud noise was heard from the mousetrap. | 어느 날 밤, 쥐덫에서 큰 소리가 들렸다.
The owner’s wife ran to the mousetrap. | 그 주인의 아내가 쥐덫으로 달려갔다.
Since it was dark, She didn’t see that a snake was caught in the mousetrap. | 어두웠기 때문에 그녀는 쥐덫에 뱀이 걸려든 것을 보지 못했다.
When she got near the snake, it bit her. | 그녀가 뱀에게 가까이 갔을 때, 그것이 그녀를 물었다.
The next day, the owner dicided to make some chicken soup for he sick wife. | 그 다음 날 그 주인은 아픈 아내를 위해 치킨 수프를 만들기로 결정했다.
He went out to get the main ingredient. | 그는 주재료를 얻기 위해 나갔다.
Can you guess what happened to the unconcerned chicken? | 당신은 그 무심한 닭에게 무슨 일이 일어났는지 짐작할 수 있는가?
